plant_country,country,typ_11,mw_2018,efficiency_factor,co2_factor,fuel_price,co2_price,av_factor,gen_capacity,mc,mean_demand,sd_demand,min_demand,max_demand
Netherlands,NL,g3,9658.424999999999,.5414285714285715,.191,20.23,20,.81,7823.3242,44.419525,13096.021,2156.8508,8967.25,18836.75
Netherlands,NL,r1,35.15,1,0,12,20,.5,17.575001,12,13096.021,2156.8508,8967.25,18836.75
Netherlands,NL,n,478.9999999999999,1,.029999999,9,20,.83999997,402.35999,9.6000004,13096.021,2156.8508,8967.25,18836.75
Netherlands,NL,res,6254.431999999999,.6599999999999999,0,0,20,.30000001,1876.3297,0,13096.021,2156.8508,8967.25,18836.75
Netherlands,NL,o2,0,.37,.27399999,37.130001,20,.79000002,0,115.16216,13096.021,2156.8508,8967.25,18836.75
Netherlands,NL,g1,1702.272,.3433333333333333,.191,20.23,20,.80000001,1361.8176,70.048546,13096.021,2156.8508,8967.25,18836.75
Norway,NO,r1,29504.78960349999,1,0,12,20,.5,14752.395,12,15468.848,3485.2029,9342.6104,30256.84
Norway,NO,c1,0,.47,.38499999,7.112,20,.80000001,0,31.514893,15468.848,3485.2029,9342.6104,30256.84
Norway,NO,c2,10,.38,.33700001,8.8900003,20,.76999998,7.6999998,41.13158,15468.848,3485.2029,9342.6104,30256.84
Norway,NO,res,4163.208999999999,.7066666666666666,0,0,20,.30000001,1248.9628,0,15468.848,3485.2029,9342.6104,30256.84
Norway,NO,g1,575.5462,.365,.191,20.23,20,.80000001,460.43698,65.890411,15468.848,3485.2029,9342.6104,30256.84
Norway,NO,g3,260,.61,.191,20.23,20,.81,210.60001,39.426228,15468.848,3485.2029,9342.6104,30256.84
Norway,NO,g2,58.2,.43,.191,20.23,20,.79000002,45.978001,55.930233,15468.848,3485.2029,9342.6104,30256.84
